src,tgt,docs_with_pair,avg_src_sentences,avg_tgt_sentences
eng,en,499,1.37,1.37
eng,ja,499,1.37,1.01
eng,vi,479,1.38,1.39
eng,fa,478,1.37,1.39
eng,so,474,1.39,1.36
eng,am,465,1.38,1.02
eng,ko,465,1.38,1.41
eng,lo,465,1.38,1.37
eng,om,465,1.38,1.4
eng,ru,465,1.38,1.45
eng,zh,465,1.38,1.01
eng,pa,464,1.39,1.41
eng,th,464,1.39,1.01
eng,km,463,1.39,1.02
eng,es,463,1.39,1.52
eng,uk,462,1.39,1.41
eng,tl,461,1.39,1.4
eng,hi,3,2.67,2.67
