scenario,count
landslides_and_mudflows,92
wildfire,60
shelter_in_place,53
flood,33
evacuation,33
winter_storm,31
volcano,29
dam_failure,25
power_outage,25
heat,23
terrorism,21
boil_water,20
earthquake,18
reunification,15
pandemic_flu,13
911_outage,2
flooding,2
driving,2
fire,2
